tweet_text
"RT @Ni_Wer: Gute, knappe Zusammenfassung des @boeckler_de geförderten #Forschung|sprojekts  „Automatisiertes  #Personalmanagement und #Mitbestimmung“ https://t.co/NEqT2W6U74 #KI #PeopleAnalytics #Datenschutz #futureofwork /mit @algorithmwatch @spielkamp https://t.co/dBfrfeCJGQ"
"RT @Fraunhofer: Extreme Wetterlagen, mehr und bislang unbekannte Schädlinge – der #Klimawandel stellt Winzer vor neue Herausforderungen. Mit EyesOnTraps ermöglicht das Fraunhofer @FhP_AICOS nun eine mobile Insektenerkennung mithilfe von #KI und #CrowdSensing. https://t.co/kZH8x0wQXe #WeKnowHow https://t.co/BkTRFKxbtc"
RT @BW__i: Tolle News für #Tübingen und #BadenWürttemberg! Mit der Förderung sollen u.a. neue #KI-Projekte initiiert und internationale Spitzenforscher*innen in den deutschen Südwesten geholt werden. @Cyber_Valley @uni_tue  @Uni_Stuttgart https://t.co/5aPlJv8DXK
"RT @fortiss: Die @DKEAktuell &amp; @fortiss haben mit #VDEARE284261 die weltweit erste #KI #Norm vorgestellt, die einen verlässlichen #Sicherheitsstandard setzt.

https://t.co/qgOdXUOA1g

@bigdata_insider #Normung #digitalgipfel20 #digitalgipfel2020 #KIZertifizierung https://t.co/3ky2nDzB7u"
"RT @immasssi: 🚀Big $XKI #giveaway! 1000 XKI ($60) split among 30 random winners!🚀

Simply👇

1. RT &amp; Like
2. Follow @Ki_Foundation 
3. Join https://t.co/mno1T8Zt16
4. Tag 5 friends

Winners ann tomorrow 12 AM CET

#blockchain #kichain #ki #klub #crypto https://t.co/FG1jQGa7ku"
"RT @ztg_nrw: Intelligente, #KI-gestützte #Telemonitoring-Technologien könnten die Versorgung in Zukunft verbessern. Wie das geht, erklärt @ztg_nrw-Geschäftsführer Rainer Beckers in der Sonderpublikation ""GESUNDHEIT &amp; VOLKSKRANKHEITEN"" in ""DIE ZEIT"": https://t.co/CInRTKUmJt https://t.co/kbSN2Epi3V"
"RT @immasssi: 🚀Big $XKI #giveaway! 1000 XKI ($60) split among 30 random winners!🚀

Simply👇

1. RT &amp; Like
2. Follow @Ki_Foundation 
3. Join https://t.co/mno1T8Zt16
4. Tag 5 friends

Winners ann tomorrow 12 AM CET

#blockchain #kichain #ki #klub #crypto https://t.co/FG1jQGa7ku"
"RT @immasssi: 🚀Big $XKI #giveaway! 1000 XKI ($60) split among 30 random winners!🚀

Simply👇

1. RT &amp; Like
2. Follow @Ki_Foundation 
3. Join https://t.co/mno1T8Zt16
4. Tag 5 friends

Winners ann tomorrow 12 AM CET

#blockchain #kichain #ki #klub #crypto https://t.co/FG1jQGa7ku"
"Clinical_Renal: One risk of a kidney transplant is that your body will reject the new kidney, if your body’s immune system realizes that the kidney is from someone else.  @KidneyFund 
Read here - https://t.co/m8SGbMu1jj
#health #dialysis #transplant #Ki… https://t.co/oqiL03neNj"
RT @BW__i: Tolle News für #Tübingen und #BadenWürttemberg! Mit der Förderung sollen u.a. neue #KI-Projekte initiiert und internationale Spitzenforscher*innen in den deutschen Südwesten geholt werden. @Cyber_Valley @uni_tue  @Uni_Stuttgart https://t.co/5aPlJv8DXK
